year,month,state,EHE
2022,4,AL,2101.0
2022,5,AL,2102.5
2022,6,AL,2104.1
2022,7,AL,2119.2
2022,8,AL,2119.7
2022,9,AL,2126.0
2022,10,AL,2126.2
2022,11,AL,2129.0
2022,12,AL,2133.0
2023,1,AL,2146.2
2023,2,AL,2147.7
2023,3,AL,2150.1
2023,4,AL,2152.9
2023,5,AL,2155.3
2023,6,AL,2163.8
2023,7,AL,2163.4
2023,8,AL,2167.5
2023,9,AL,2170.3
2023,10,AL,2174.1
2023,11,AL,2172.7
2023,12,AL,2174.9
2024,1,AL,2178.5
2024,2,AL,2184.1
2024,3,AL,2187.0
2024,4,AL,2187.4
2024,5,AL,2189.9
2024,6,AL,2191.0
2024,7,AL,2189.7
2024,8,AL,2192.9
2024,9,AL,2194.5
2024,10,AL,2195.9
2024,11,AL,2197.1
2024,12,AL,2200.3
2025,1,AL,2199.5
2025,2,AL,2202.5
2025,3,AL,2210.2
2025,4,AL,2215.4
2025,5,AL,2215.6
2025,6,AL,2211.1
2025,7,AL,2211.9
2025,8,AL,2215.8
2025,9,AL,2214.9
2025,10,AL,2214.5
2025,11,AL,2208.8
2025,12,AL,2211.2
1990,1,AK,230.8
1990,2,AK,233.1
1990,3,AK,235.3
1990,4,AK,236.9
1990,5,AK,237.5
1990,6,AK,240.2
1990,7,AK,239.6
1990,8,AK,239.0
1990,9,AK,238.6
1990,10,AK,240.1
1990,11,AK,242.2
1990,12,AK,243.1
1991,1,AK,241.7
1991,2,AK,241.3
1991,3,AK,241.1
1991,4,AK,241.2
1991,5,AK,242.4
1991,6,AK,241.8
1991,7,AK,243.0
1991,8,AK,243.0
1991,9,AK,242.8
1991,10,AK,242.9
1991,11,AK,244.8
1991,12,AK,247.0
1992,1,AK,246.0
1992,2,AK,247.4
1992,3,AK,247.8
1992,4,AK,247.9
1992,5,AK,247.1
1992,6,AK,246.3
1992,7,AK,246.8
1992,8,AK,246.7
1992,9,AK,247.5
1992,10,AK,246.6
1992,11,AK,246.9
1992,12,AK,248.7
1993,1,AK,249.7
1993,2,AK,249.9
1993,3,AK,250.9
1993,4,AK,251.2
1993,5,AK,250.5
1993,6,AK,252.0
1993,7,AK,252.2
1993,8,AK,252.8
1993,9,AK,253.0
1993,10,AK,257.0
1993,11,AK,257.2
1993,12,AK,256.3
1994,1,AK,257.5
1994,2,AK,259.1
1994,3,AK,259.3
1994,4,AK,257.5
1994,5,AK,257.0
1994,6,AK,258.2
1994,7,AK,258.5
1994,8,AK,259.7
1994,9,AK,261.6
1994,10,AK,260.6
1994,11,AK,261.4
1994,12,AK,260.6
1995,1,AK,261.0
1995,2,AK,261.5
1995,3,AK,260.7
1995,4,AK,260.5
1995,5,AK,261.1
1995,6,AK,262.7
1995,7,AK,261.9
1995,8,AK,263.1
1995,9,AK,262.7
1995,10,AK,263.4
1995,11,AK,262.4
1995,12,AK,262.1
1996,1,AK,260.9
1996,2,AK,261.0
1996,3,AK,261.8
1996,4,AK,263.1
1996,5,AK,263.7
1996,6,AK,263.7
1996,7,AK,264.6
1996,8,AK,265.0
1996,9,AK,264.2
1996,10,AK,265.5
1996,11,AK,265.3
1996,12,AK,264.2
1997,1,AK,265.2
1997,2,AK,265.6
1997,3,AK,265.8
1997,4,AK,267.7
1997,5,AK,268.4
1997,6,AK,269.1
1997,7,AK,269.9
1997,8,AK,269.4
1997,9,AK,269.9
1997,10,AK,271.7
1997,11,AK,270.9
1997,12,AK,270.6
1998,1,AK,273.4
1998,2,AK,273.8
1998,3,AK,274.4
1998,4,AK,273.9
1998,5,AK,275.1
1998,6,AK,273.9
1998,7,AK,274.7
1998,8,AK,274.2
1998,9,AK,275.0
1998,10,AK,276.0
1998,11,AK,276.9
1998,12,AK,278.0
1999,1,AK,278.6
1999,2,AK,277.0
1999,3,AK,278.5
1999,4,AK,278.4
1999,5,AK,278.3
1999,6,AK,278.0
1999,7,AK,278.0
1999,8,AK,278.4
1999,9,AK,280.4
1999,10,AK,280.5
1999,11,AK,281.9
1999,12,AK,282.3
2000,1,AK,282.0
2000,2,AK,282.1
2000,3,AK,283.4
2000,4,AK,283.0
2000,5,AK,283.9
2000,6,AK,284.1
2000,7,AK,284.8
2000,8,AK,284.8
2000,9,AK,284.0
2000,10,AK,285.0
2000,11,AK,285.0
2000,12,AK,286.5
2001,1,AK,284.2
2001,2,AK,287.1
2001,3,AK,286.9
2001,4,AK,289.1
2001,5,AK,289.2
2001,6,AK,289.3
2001,7,AK,291.3
2001,8,AK,292.1
2001,9,AK,291.3
2001,10,AK,291.4
2001,11,AK,289.9
2001,12,AK,289.0
2002,1,AK,290.5
2002,2,AK,293.5
2002,3,AK,294.1
2002,4,AK,294.2
2002,5,AK,293.3
2002,6,AK,294.1
2002,7,AK,294.7
2002,8,AK,295.6
2002,9,AK,295.5
2002,10,AK,297.9
2002,11,AK,298.0
2002,12,AK,298.7
2003,1,AK,297.2
2003,2,AK,298.1
2003,3,AK,298.7
2003,4,AK,297.4
2003,5,AK,299.2
2003,6,AK,299.7
2003,7,AK,298.6
2003,8,AK,299.5
2003,9,AK,300.5
2003,10,AK,299.7
2003,11,AK,300.0
2003,12,AK,300.5
2004,1,AK,301.9
2004,2,AK,300.4
2004,3,AK,302.2
2004,4,AK,302.1
2004,5,AK,302.2
2004,6,AK,303.3
2004,7,AK,304.4
2004,8,AK,304.9
2004,9,AK,305.8
2004,10,AK,307.2
2004,11,AK,306.2
2004,12,AK,307.4
2005,1,AK,308.4
2005,2,AK,307.3
2005,3,AK,308.0
2005,4,AK,308.4
2005,5,AK,309.1
2005,6,AK,308.5
2005,7,AK,310.7
2005,8,AK,311.0
2005,9,AK,310.8
2005,10,AK,310.9
2005,11,AK,311.9
2005,12,AK,311.0
2006,1,AK,310.9
2006,2,AK,312.9
2006,3,AK,314.3
2006,4,AK,315.3
2006,5,AK,315.1
2006,6,AK,318.4
2006,7,AK,314.5
2006,8,AK,315.0
2006,9,AK,315.4
2006,10,AK,313.6
2006,11,AK,315.8
2006,12,AK,316.2
2007,1,AK,316.7
2007,2,AK,317.9
2007,3,AK,317.9
2007,4,AK,317.3
2007,5,AK,317.9
2007,6,AK,318.0
2007,7,AK,316.6
2007,8,AK,317.5
2007,9,AK,318.0
2007,10,AK,318.2
2007,11,AK,318.9
2007,12,AK,319.1
2008,1,AK,321.1
2008,2,AK,320.7
2008,3,AK,320.4
2008,4,AK,320.4
2008,5,AK,322.5
2008,6,AK,322.5
2008,7,AK,323.2
2008,8,AK,322.7
2008,9,AK,323.0
2008,10,AK,322.1
2008,11,AK,322.1
2008,12,AK,323.5
2009,1,AK,321.1
2009,2,AK,321.8
2009,3,AK,321.0
2009,4,AK,320.5
2009,5,AK,320.5
2009,6,AK,320.1
2009,7,AK,320.7
2009,8,AK,320.5
2009,9,AK,320.7
2009,10,AK,321.3
2009,11,AK,320.6
2009,12,AK,320.4
2010,1,AK,321.2
2010,2,AK,320.8
2010,3,AK,321.1
2010,4,AK,322.5
2010,5,AK,323.5
2010,6,AK,325.1
2010,7,AK,326.8
2010,8,AK,326.2
2010,9,AK,326.8
2010,10,AK,327.4
2010,11,AK,328.2
2010,12,AK,328.1
2011,1,AK,329.1
2011,2,AK,328.2
2011,3,AK,328.2
2011,4,AK,328.6
2011,5,AK,328.1
2011,6,AK,329.7
2011,7,AK,330.2
2011,8,AK,330.0
2011,9,AK,332.2
2011,10,AK,332.6
2011,11,AK,332.4
2011,12,AK,331.8
2012,1,AK,332.8
2012,2,AK,334.6
2012,3,AK,335.2
2012,4,AK,334.4
2012,5,AK,334.8
2012,6,AK,335.3
2012,7,AK,334.8
2012,8,AK,334.4
2012,9,AK,335.1
2012,10,AK,339.6
2012,11,AK,337.4
2012,12,AK,336.9
2013,1,AK,334.8
2013,2,AK,336.9
2013,3,AK,336.9
2013,4,AK,337.0
2013,5,AK,335.5
2013,6,AK,336.5
2013,7,AK,336.1
2013,8,AK,336.9
2013,9,AK,337.6
2013,10,AK,336.8
2013,11,AK,337.3
2013,12,AK,337.6
2014,1,AK,337.5
2014,2,AK,337.3
2014,3,AK,337.8
2014,4,AK,338.9
2014,5,AK,338.7
2014,6,AK,337.4
2014,7,AK,338.5
2014,8,AK,337.9
2014,9,AK,337.5
2014,10,AK,338.7
2014,11,AK,339.1
2014,12,AK,339.8
2015,1,AK,340.6
2015,2,AK,340.3
2015,3,AK,340.8
2015,4,AK,339.5
2015,5,AK,339.9
2015,6,AK,339.1
2015,7,AK,339.4
2015,8,AK,338.1
2015,9,AK,338.5
2015,10,AK,337.8
2015,11,AK,337.2
2015,12,AK,337.1
2016,1,AK,336.7
2016,2,AK,335.6
2016,3,AK,335.8
2016,4,AK,336.3
2016,5,AK,334.7
2016,6,AK,332.3
2016,7,AK,333.2
2016,8,AK,332.4
2016,9,AK,330.5
2016,10,AK,331.2
2016,11,AK,331.0
2016,12,AK,331.0
2017,1,AK,330.0
2017,2,AK,330.4
2017,3,AK,329.9
2017,4,AK,329.3
2017,5,AK,330.0
2017,6,AK,330.0
2017,7,AK,329.3
2017,8,AK,330.0
2017,9,AK,329.6
2017,10,AK,327.7
2017,11,AK,327.7
2017,12,AK,327.3
2018,1,AK,326.4
2018,2,AK,327.3
2018,3,AK,327.7
2018,4,AK,327.0
2018,5,AK,327.6
2018,6,AK,328.6
2018,7,AK,327.5
2018,8,AK,327.7
2018,9,AK,327.9
2018,10,AK,328.7
2018,11,AK,328.1
2018,12,AK,327.4
2019,1,AK,328.1
2019,2,AK,328.4
2019,3,AK,329.1
2019,4,AK,329.0
2019,5,AK,330.0
2019,6,AK,332.2
2019,7,AK,331.2
2019,8,AK,330.9
2019,9,AK,332.1
2019,10,AK,330.7
2019,11,AK,329.8
2019,12,AK,328.3
2020,1,AK,328.6
2020,2,AK,329.4
2020,3,AK,327.5
2020,4,AK,283.5
2020,5,AK,283.8
2020,6,AK,286.1
2020,7,AK,285.8
2020,8,AK,290.7
2020,9,AK,296.3
2020,10,AK,305.7
2020,11,AK,308.7
2020,12,AK,308.5
2021,1,AK,308.7
2021,2,AK,308.0
2021,3,AK,309.1
2021,4,AK,309.4
2021,5,AK,306.0
2021,6,AK,306.2
2021,7,AK,308.8
