year,month,PPI
1965,8,32.4
1965,9,32.4
1965,10,32.5
1965,11,32.6
1965,12,32.8
1965,13,32.3
1966,1,32.9
1966,2,33.2
1966,3,33.2
1966,4,33.2
1966,5,33.2
1966,6,33.3
1966,7,33.5
1966,8,33.6
1966,9,33.6
1966,10,33.4
1966,11,33.3
1966,12,33.3
1966,13,33.3
1967,1,33.4
1967,2,33.4
1967,3,33.3
1967,4,33.1
1967,5,33.3
1967,6,33.5
1967,7,33.5
1967,8,33.4
1967,9,33.4
1967,10,33.4
1967,11,33.4
1967,12,33.7
1967,13,33.4
1968,1,33.8
1968,2,34.0
1968,3,34.1
1968,4,34.1
1968,5,34.2
1968,6,34.2
1968,7,34.3
1968,8,34.2
1968,9,34.4
1968,10,34.4
1968,11,34.5
1968,12,34.6
1968,13,34.2
1969,1,34.8
1969,2,35.0
1969,3,35.2
1969,4,35.3
1969,5,35.5
1969,6,35.7
1969,7,35.8
1969,8,35.7
1969,9,35.8
1969,10,35.9
1969,11,36.1
1969,12,36.3
1969,13,35.6
1970,1,36.5
1970,2,36.7
1970,3,36.7
1970,4,36.8
1970,5,36.8
1970,6,36.9
1970,7,37.1
1970,8,36.9
1970,9,37.1
1970,10,37.1
1970,11,37.1
1970,12,37.1
1970,13,36.9
1971,1,37.3
1971,2,37.7
1971,3,37.8
1971,4,37.9
1971,5,38.1
1971,6,38.2
1971,7,38.3
1971,8,38.5
1971,9,38.3
1971,10,38.3
1971,11,38.3
1971,12,38.6
1971,13,38.1
1972,1,38.8
1972,2,39.2
1972,3,39.2
1972,4,39.3
1972,5,39.5
1972,6,39.7
1972,7,40.0
1972,8,40.1
1972,9,40.2
1972,10,40.1
1972,11,40.3
1972,12,41.1
1972,13,39.8
1973,1,41.6
1973,2,42.4
1973,3,43.4
1973,4,43.6
1973,5,44.5
1973,6,45.5
1973,7,44.9
1973,8,47.5
1973,9,46.7
1973,10,46.3
1973,11,46.5
1973,12,47.4
1973,13,45.0
1974,1,49.0
1974,2,50.0
1974,3,50.6
1974,4,51.0
1974,5,51.8
1974,6,52.0
1974,7,54.0
1974,8,55.9
1974,9,55.9
1974,10,56.9
1974,11,57.4
1974,12,57.3
1974,13,53.5
1975,1,57.4
1975,2,57.2
1975,3,56.9
1975,4,57.5
1975,5,57.9
1975,6,58.0
1975,7,58.7
1975,8,59.0
1975,9,59.4
1975,10,59.8
1975,11,59.5
1975,12,59.7
1975,13,58.4
1976,1,59.9
1976,2,59.9
1976,3,60.0
